,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1,Robert Roos,,,4.0,9.0,1.0,6.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,ROBERT ROOS
1,4,Raha Mozaffari,,,3.0,2.0,2.0,4.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,RAHA MOZAFFARI
2,5,Michael Panna,,"5'9""",,1.0,,3.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,MICHAEL PANNA
3,7,Steve Rosso,,"5'11""",4.0,5.0,3.0,2.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,STEVE ROSSO
4,8,Luke Ryan,Defense (Cutter),"6'2""",6.0,2.0,3.0,3.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,LUKE RYAN
5,9,Andrea Desabato,,,,,1.0,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,ANDREA DESABATO
6,10,Spencer Deroos,Handler/Cutter,"5'10""",2.0,2.0,2.0,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,SPENCER DEROOS
7,11,Ryan Flamberg,,,6.0,3.0,5.0,2.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,RYAN FLAMBERG
8,12,Malti McKinnon,,,,,1.0,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,MALTI MCKINNON
9,13,Bethany Eldridge,,"6'0""",,,1.0,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,BETHANY ELDRIDGE
10,14,Stuart Hean,,"6'1""",5.0,5.0,1.0,7.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,STUART HEAN
11,18,Emily Shields,,,3.0,5.0,,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,EMILY SHIELDS
12,19,Anna Thompson,,"5'3""",8.0,11.0,,5.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,ANNA THOMPSON
13,21,Linda Morse,Cutter,"5'10""",6.0,1.0,,2.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,LINDA MORSE
14,22,Liz Hart,,"5'8""",4.0,1.0,,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,LIZ HART
15,23,Natalie Bova,,,6.0,2.0,,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,NATALIE BOVA
16,24,Danielle Walsh,,,3.0,3.0,,2.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,DANIELLE WALSH
17,25,Andrew O'Connor,,,1.0,2.0,,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,ANDREW O'CONNOR
18,26,Julia Mankoff,,"5'7""",,,,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,JULIA MANKOFF
19,33,Jordan Rhyne,,,3.0,2.0,,4.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,JORDAN RHYNE
20,44,Max Charles,Deep,"5'6""",2.0,1.0,3.0,4.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,MAX CHARLES
21,55,Michael Campanella,,"1'0""",2.0,3.0,1.0,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,MICHAEL CAMPANELLA
22,70,Jake Butrica,,,,2.0,1.0,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,JAKE BUTRICA
23,79,Michael Ing,,,3.0,8.0,,5.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,MICHAEL ING
24,81,Sean Mott,,,7.0,4.0,2.0,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,SEAN MOTT
25,88,Paul Owens,Handler/Cutter,"5'8""",2.0,3.0,3.0,1.0,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,PAUL OWENS
26,99,Eric Nardelli,Defense (Cutter),"6'0""",1.0,1.0,1.0,,/events/teams/?EventTeamId=1QsNeymd7nbvs4HxEs282klTcPJPi2d79DbP2XUbKSA%3d,AMP,1,ERIC NARDELLI
0,4,Deanna Bjorkquist,,,5.0,,3.0,1.0,/events/teams/?EventTeamId=IbBGFPf4pdO%2fA978lX8z6%2fu5XeF%2feWxXMT8oJDT9eZc%3d,Blackbird,8,DEANNA BJORKQUIST
1,7,Rachel Holz,,,1.0,,1.0,2.0,/events/teams/?EventTeamId=IbBGFPf4pdO%2fA978lX8z6%2fu5XeF%2feWxXMT8oJDT9eZc%3d,Blackbird,8,RACHEL HOLZ
