,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Marianna Heckendorn,MARIANNA HECKENDORN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
1,1,Jessica Spaulding,JESSICA SPAULDING,1,1,1,1,1,2,2,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
2,2,Lindsey Wilson,LINDSEY WILSON,1,1,0,0,2,5,5,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
3,3,Daniella Welsh,DANIELLA WELSH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
4,4,Nicole Cramer,NICOLE CRAMER,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
5,5,Tiffany Phan,TIFFANY PHAN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
6,6,Molly Sinnott,MOLLY SINNOTT,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
7,7,Mia Greenwald,MIA GREENWALD,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
8,8,Carly Campana,CARLY CAMPANA,1,1,1,1,2,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
9,10,Hannah Kreilkamp,HANNAH KREILKAMP,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
10,14,Madeline Stephenson,MADELINE STEPHENSON,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
11,17,Ellen Goldberg,ELLEN GOLDBERG,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
12,22,Katy Craley,KATY CRALEY,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
13,23,Anh-Thu Chang,ANH-THU CHANG,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
14,25,Emma Kahle,EMMA KAHLE,0,0,1,1,2,4,4,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
15,26,Stephanie Phillips,STEPHANIE PHILLIPS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
16,27,Anne Silver,ANNE SILVER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
17,28,Nora Carr,NORA CARR,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
18,32,Michaela Fallon,MICHAELA FALLON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
19,33,Catherine (Cate) Roscoe,CATHERINE (CATE) ROSCOE,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
20,34,Caitlin Cordell,CAITLIN CORDELL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
21,36,Sophia Johansen,SOPHIA JOHANSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
22,47,Amanda Kostic,AMANDA KOSTIC,0,0,1,1,1,4,4,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
23,51,Katharine Dusenbury,KATHARINE DUSENBURY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
24,77,Taylor Hartman,TAYLOR HARTMAN,0,0,0,0,1,4,4,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
25,91,Tessora Young,TESSORA YOUNG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Underground,13,11,Showdown,12,8
0,1,Julie Eagle Malecek,JULIE EAGLE MALECEK,1,1,1,1,1,4,4,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
1,2,Elise Bjork,ELISE BJORK,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
2,5,Andrea Esparza,ANDREA ESPARZA,1,1,0,0,0,6,6,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
3,6,Ivy Harrison,IVY HARRISON,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
4,7,Shiru Liu,SHIRU LIU,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
5,9,Laura Landis,LAURA LANDIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
6,10,Gaby Cuina,GABY CUINA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
7,11,Katey Forth,KATEY FORTH,1,1,0,0,0,5,5,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
8,13,Jennifer Schmerling,JENNIFER SCHMERLING,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
9,14,Edith Teng,EDITH TENG,0,0,0,0,0,3,3,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
10,16,Sarah Levinn,SARAH LEVINN,0,0,2,2,1,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
11,17,Marissa Land,MARISSA LAND,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
12,18,Laura Gerencser,LAURA GERENCSER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
13,21,Valerie Pinillos,VALERIE PINILLOS,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
14,22,Julia Schmaltz,JULIA SCHMALTZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
15,23,Lillian White,LILLIAN WHITE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
16,24,Susan Gilbert,SUSAN GILBERT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
17,25,Tina Woodings,TINA WOODINGS,0,0,1,1,3,1,1,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
18,27,Jamie Eriksson,JAMIE ERIKSSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
19,28,Anne Ortiz,ANNE ORTIZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
20,29,Michelle Arceneaux,MICHELLE ARCENEAUX,2,2,0,0,1,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
21,31,Ashley Shelor,ASHLEY SHELOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
22,32,Rebecca Forth,REBECCA FORTH,0,0,0,0,1,6,6,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
23,41,Alexandra Klein,ALEXANDRA KLEIN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=2ANtKvKwU9sEJZz33UJOr27G9OG6jlaoXguNNKqAuA8%3d,Showdown,12,8,Underground,13,11
0,4,Sarah Itoh,SARAH ITOH,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
1,5,Emma Price,EMMA PRICE,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
2,6,Lisa Kowalski,LISA KOWALSKI,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
3,8,Kristin Franke,KRISTIN FRANKE,0,0,2,2,0,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
4,9,Jessica O'Connor,JESSICA O'CONNOR,0,0,2,2,0,3,3,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
5,10,Jenny Fey,JENNY FEY,1,1,1,1,2,3,3,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
6,11,Nada Tramonte,NADA TRAMONTE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
7,12,Amy Zhou,AMY ZHOU,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
8,14,Colleen Giglia,COLLEEN GIGLIA,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
9,16,Amel Awadelkarim,AMEL AWADELKARIM,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
10,18,Sarah Markowski,SARAH MARKOWSKI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
11,19,Claire Smullen,CLAIRE SMULLEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
12,20,Casey Gorman,CASEY GORMAN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
13,22,Theresa Hackett,THERESA HACKETT,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
14,23,Sarah Lord,SARAH LORD,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
15,24,Adilina Malave,ADILINA MALAVE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
16,26,Ella Juengst,ELLA JUENGST,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
17,34,Ingrid Petterson,INGRID PETTERSON,0,0,0,0,2,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
18,37,Sandra Jorgensen,SANDRA JORGENSEN,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
19,39,Katy Harris,KATY HARRIS,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
20,44,Keila Strick,KEILA STRICK,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
21,50,Hannah Boone,HANNAH BOONE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
22,55,Molly Roy,MOLLY ROY,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
23,88,Kelly Hyland,KELLY HYLAND,3,3,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Scandal,5,15,Nemesis,16,6
0,0,Eileen Duffner,EILEEN DUFFNER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
1,1,Allison Fish,ALLISON FISH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
2,3,Alex Krueger,ALEX KRUEGER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
3,4,Monica Matsumoto,MONICA MATSUMOTO,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
4,5,Anna Thorn,ANNA THORN,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
5,6,Risa Umeno,RISA UMENO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
6,7,Dorothe Franklin,DOROTHE FRANKLIN,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
7,8,Christina Sur,CHRISTINA SUR,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
8,9,Julia Butterfield,JULIA BUTTERFIELD,1,1,1,1,1,4,4,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
9,11,Beth Daviess,BETH DAVIESS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
10,12,Jennifer Corcoran,JENNIFER CORCORAN,0,0,3,3,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
11,13,Jessica Sipperley,JESSICA SIPPERLEY,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
12,15,Danielle Blatt,DANIELLE BLATT,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
13,16,Jesse Handler,JESSE HANDLER,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
14,17,Erika Danckers,ERIKA DANCKERS,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
15,18,Sarah Kim,SARAH KIM,0,0,0,0,1,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
16,19,Rachel Foster,RACHEL FOSTER,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
17,21,Amanda Dobbyn,AMANDA DOBBYN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
18,23,Emily Hadel,EMILY HADEL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
19,31,Abby Shure,ABBY SHURE,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
20,32,Carol Li,CAROL LI,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
21,72,Jacqueline Jarik,JACQUELINE JARIK,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
22,77,Sara Miller,SARA MILLER,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
23,94,Emilie Willingham,EMILIE WILLINGHAM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
24,99,Kathleen (Katie) Dyer,KATHLEEN (KATIE) DYER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=B4GDADsUX9w783f7AcXdLMexxbmqqpK%2fQCOfooHNOU4%3d,Nemesis,16,6,Scandal,5,15
0,3,Courtney Verhaalen,COURTNEY VERHAALEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
1,4,Lien Hoffmann,LIEN HOFFMANN,1,1,1,1,2,2,2,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
2,5,Julianna Werffeli,JULIANNA WERFFELI,1,1,0,0,1,2,2,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
3,6,Claudia Tajima,CLAUDIA TAJIMA,0,0,1,1,1,2,2,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
4,7,Kami Groom,KAMI GROOM,1,1,2,2,2,1,1,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
5,9,Becca Ludford,BECCA LUDFORD,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
6,10,Amber Sinicrope,AMBER SINICROPE,0,0,2,2,1,2,2,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
7,13,Becky Malinowski,BECKY MALINOWSKI,1,1,1,1,0,3,3,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
8,14,Tulsa Douglas,TULSA DOUGLAS,0,0,0,0,2,1,1,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
9,15,Kimberly Culpan,KIMBERLY CULPAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
10,16,Erin Rea,ERIN REA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
11,17,Angela Zhu,ANGELA ZHU,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
12,21,Chelsea Murphy,CHELSEA MURPHY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
13,22,Victoria Negus,VICTORIA NEGUS,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
14,23,Emily Baecher,EMILY BAECHER,0,0,4,4,2,7,7,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
15,25,Jennifer Gobin,JENNIFER GOBIN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
16,26,Elana Schwam,ELANA SCHWAM,0,0,0,0,1,3,3,/teams/events/match_report/?EventGameId=%2b7KNFAETfI2uHM6Y%2fH8ZIRXVgg1HV%2f%2b3x0RhH3ikbbk%3d,Brute Squad,2,14,Pop,11,3
